2a0f:fb44::/32,NG,NG-FC,Abuja,
2a0f:fb45::/32,KE,KE-30,Nairobi,
2a0f:fb46::/32,GH,GH-AA,Accra,
2a0f:fb47::/32,ZA,ZA-WC,Cape Town,
2a0d:9440::/37,GB,,,
2a0d:9440:800::/37,CL,,,
2a0d:9440:1000::/37,TL,,,
2a0d:9440:1800::/37,GS,,,
2a0d:9440:2000::/37,ET,,,
2a0d:9440:2800::/37,CV,,,
2a0d:9440:3000::/37,MN,,,
2a0d:9440:3800::/37,CM,,,
2a0d:9440:4000::/37,BB,,,
2a0d:9440:4800::/37,NA,,,
2a0d:9440:5000::/37,VN,,,
2a0d:9440:5800::/37,LY,,,
2a0d:9440:6000::/37,HR,,,
2a0d:9440:6800::/37,NU,,,
2a0d:9440:7000::/37,IM,,,
2a0d:9440:7800::/37,BQ,,,
2a0d:9440:8000::/37,IS,,,
2a0d:9440:8800::/37,HU,,,
2a0d:9440:9000::/37,BD,,,
2a0d:9440:9800::/37,PK,,,
2a0d:9440:a000::/37,PE,,,
2a0d:9440:a800::/37,KW,,,
2a0d:9440:b000::/37,BR,,,
2a0d:9440:b800::/37,MO,,,
2a0d:9440:c000::/37,IE,,,
2a0d:9440:c800::/37,NI,,,
2a0d:9440:d000::/37,FM,,,
2a0d:9440:d800::/37,MA,,,
2a0d:9440:e000::/37,NF,,,
2a0d:9440:e800::/37,BF,,,
2a0d:9440:f000::/37,SI,,,
2a0d:9440:f800::/37,MQ,,,
2a0d:9441::/37,DM,,,
2a0d:9441:1000::/37,BV,,,
2a0d:9441:1800::/37,MH,,,
2a0d:9441:2000::/37,IQ,,,
2a0d:9441:2800::/37,IT,,,
2a0d:9441:3000::/37,NP,,,
2a0d:9441:3800::/37,MK,,,
2a0d:9441:4000::/37,TH,,,
2a0d:9441:4800::/37,MX,,,
2a0d:9441:5000::/37,BN,,,
2a0d:9441:5800::/37,SK,,,
2a0d:9441:6000::/37,LS,,,
2a0d:9441:6800::/37,YE,,,
2a0d:9441:7000::/37,YT,,,
2a0d:9441:7800::/37,KE,,,
2a0d:9441:8000::/37,RE,,,
2a0d:9441:8800::/37,TJ,,,
2a0d:9441:9000::/37,BY,,,
